,Open,High,Low,Close,Adj Close,Volume
2022-02-24 09:25:00+01:00,332.5,334.5,330.5,332.0,332.0,269.0
2022-02-24 09:30:00+01:00,332.0,332.5,331.5,332.0,332.0,53.0
2022-02-24 09:35:00+01:00,331.5,334.0,331.5,334.0,334.0,50.0
2022-02-24 09:40:00+01:00,335.0,335.5,334.5,335.5,335.5,27.0
2022-02-24 09:45:00+01:00,335.5,336.5,335.0,336.5,336.5,115.0
2022-02-24 09:50:00+01:00,335.0,335.0,335.0,335.0,335.0,13.0
2022-02-24 09:55:00+01:00,334.5,334.5,334.5,334.5,334.5,12.0
2022-02-24 10:00:00+01:00,334.5,335.0,333.5,335.0,335.0,30.0
2022-02-24 10:05:00+01:00,334.0,335.5,334.0,335.5,335.5,15.0
2022-02-24 10:10:00+01:00,334.5,334.5,334.5,334.5,334.5,10.0
2022-02-24 10:15:00+01:00,333.5,334.0,333.5,333.5,333.5,45.0
2022-02-24 10:20:00+01:00,334.0,334.0,334.0,334.0,334.0,6.0
2022-02-24 10:25:00+01:00,333.0,333.0,333.0,333.0,333.0,1.0
2022-02-24 10:30:00+01:00,333.0,333.0,333.0,333.0,333.0,1.0
2022-02-24 10:35:00+01:00,334.0,334.0,328.5,331.5,331.5,515.0
2022-02-24 10:40:00+01:00,330.5,330.5,330.5,330.5,330.5,14.0
2022-02-24 10:45:00+01:00,330.5,332.0,330.5,330.5,330.5,60.0
2022-02-24 10:50:00+01:00,330.5,330.5,330.0,330.0,330.0,78.0
2022-02-24 11:00:00+01:00,331.5,332.5,330.0,330.0,330.0,173.0
2022-02-24 11:05:00+01:00,330.5,330.5,330.0,330.0,330.0,27.0
2022-02-24 11:10:00+01:00,330.5,330.5,328.0,329.5,329.5,321.0
2022-02-24 11:15:00+01:00,329.0,329.5,329.0,329.5,329.5,12.0
2022-02-24 11:20:00+01:00,328.0,328.0,327.0,327.0,327.0,219.0
2022-02-24 11:25:00+01:00,326.0,327.0,326.0,326.0,326.0,48.0
2022-02-24 11:30:00+01:00,326.0,326.5,325.5,326.5,326.5,163.0
2022-02-24 11:35:00+01:00,325.5,326.5,325.5,326.5,326.5,11.0
2022-02-24 11:40:00+01:00,326.0,326.0,325.5,325.5,325.5,29.0
2022-02-24 11:45:00+01:00,325.0,325.0,325.0,325.0,325.0,1.0
2022-02-24 11:55:00+01:00,324.0,324.0,324.0,324.0,324.0,5.0
2022-02-24 12:00:00+01:00,323.0,323.5,321.0,323.5,323.5,92.0
2022-02-24 12:15:00+01:00,321.0,322.0,321.0,322.0,322.0,12.0
2022-02-24 12:20:00+01:00,322.5,323.0,322.5,322.5,322.5,39.0
2022-02-24 12:25:00+01:00,322.5,322.5,321.0,321.0,321.0,22.0
2022-02-24 12:30:00+01:00,321.0,322.0,321.0,322.0,322.0,7.0
2022-02-24 12:40:00+01:00,321.0,323.0,321.0,323.0,323.0,36.0
2022-02-24 12:45:00+01:00,323.5,325.5,323.5,325.5,325.5,67.0
2022-02-24 12:50:00+01:00,324.5,324.5,324.5,324.5,324.5,36.0
2022-02-24 12:55:00+01:00,323.0,323.0,323.0,323.0,323.0,2.0
2022-02-24 13:20:00+01:00,324.0,324.5,324.0,324.5,324.5,18.0
2022-02-24 13:25:00+01:00,322.5,322.5,322.5,322.5,322.5,2.0
2022-02-24 13:45:00+01:00,320.5,321.5,320.5,321.5,321.5,20.0
2022-02-24 13:50:00+01:00,321.5,321.5,321.0,321.5,321.5,86.0
2022-02-24 13:55:00+01:00,320.0,320.5,320.0,320.5,320.5,32.0
2022-02-24 14:00:00+01:00,321.5,321.5,321.0,321.0,321.0,8.0
2022-02-24 14:05:00+01:00,322.0,322.0,322.0,322.0,322.0,32.0
2022-02-24 14:10:00+01:00,321.5,322.0,321.5,321.5,321.5,24.0
2022-02-24 14:15:00+01:00,321.0,322.0,321.0,322.0,322.0,25.0
2022-02-24 14:30:00+01:00,322.0,323.5,322.0,323.5,323.5,43.0
2022-02-24 14:35:00+01:00,324.0,324.0,324.0,324.0,324.0,16.0
2022-02-24 14:40:00+01:00,323.0,323.0,323.0,323.0,323.0,15.0
